==============================================
  Session: Session 01
  Started: 2026-05-08 14:32:40
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        71.9     838.0    60.9     1.91     0.175        0.751
00:02:01   DATA               Normal      Low        0.000    68.9     814.7    65.0     3.23     0.223        0.720
00:02:02   DATA               Normal      Low        0.123    68.8     837.2    55.9     5.08     0.109        0.745
00:02:03   LEVEL Low>Medium   Normal      Medium     0.415    70.0     827.6    19.9     0.58     0.201        0.778
00:02:03   DATA               Normal      Medium     0.415    70.0     827.6    19.9     0.58     0.201        0.778
00:02:04   LEVEL Medium>High  Normal      High       0.562    71.4     847.7    27.9     3.04     0.322        0.813
00:02:04   DATA               Normal      High       0.562    71.4     847.7    27.9     3.04     0.322        0.813
00:02:05   DATA               Normal      High       0.649    72.4     833.5    28.1     1.69     0.267        0.841
00:02:06   DATA               Normal      High       0.849    72.6     833.3    28.9     1.82     0.267        0.863
00:02:07   DATA               Normal      High       1.000    72.5     823.9    26.6     0.52     0.243        0.875
00:02:08   DATA               Normal      High       1.000    72.3     821.7    26.1     0.59     0.152        0.880
00:02:09   DATA               Normal      High       1.000    72.4     835.5    30.9     0.06     0.218        0.881
00:02:10   DATA               Normal      High       1.000    72.4     845.2    33.0     0.16     0.118        0.875
00:02:11   DATA               Normal      High       1.000    71.8     850.9    32.9     0.71     0.214        0.866
00:02:12   DATA               Normal      High       1.000    70.7     858.6    36.2     0.58     0.212        0.855
00:02:13   DATA               Normal      High       0.808    69.4     868.9    60.1     0.44     0.105        0.840
00:02:14   DATA               Normal      High       0.729    68.4     886.1    48.6     0.48     0.113        0.827
00:02:15   DATA               Normal      High       0.729    67.7     902.2    39.0     1.02     0.111        0.824
00:02:16   DATA               Normal      High       0.729    66.6     909.7    38.0     0.99     0.330        0.822
00:02:16   BOSS ROOM ENTER    BossRoom                                                                         
00:02:17   DATA               BossRoom    High       0.678    65.3     905.8    45.6     0.66     0.331        0.823
00:02:18   DATA               BossRoom    High       0.675    64.4     886.6    60.5     4.65     0.308        0.816
00:02:19   DATA               BossRoom    High       0.705    64.3     876.2    45.4     2.74     0.228        0.800
00:02:20   DATA               BossRoom    High       0.705    65.3     866.3    39.5     2.04     0.231        0.765
00:02:21   PLAYER DIED        BossRoom                                                                         
00:02:21   DATA               BossRoom    High       0.609    67.7     859.6    50.3     1.48     0.116        0.732
00:02:22   LEVEL High>Medium  BossRoom    Medium     0.464    71.6     848.3    60.5     1.90     0.107        0.707
00:02:22   DATA               BossRoom    Medium     0.464    71.6     848.3    60.5     1.90     0.107        0.707
00:02:23   LEVEL Medium>High  BossRoom    High       0.552    74.7     849.3    51.5     1.29     0.107        0.698
00:02:23   DATA               BossRoom    High       0.552    74.7     849.3    51.5     1.29     0.107        0.698
00:02:24   DATA               BossRoom    High       0.516    75.2     845.2    49.2     1.09     0.108        0.704
00:02:25   LEVEL High>Medium  BossRoom    Medium     0.461    73.4     829.3    46.1     0.37     0.151        0.719
00:02:25   DATA               BossRoom    Medium     0.461    73.4     829.3    46.1     0.37     0.151        0.719
