==============================================
  Session: Session 01
  Started: 2026-05-12 14:14:59
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        85.4     708.9    46.3     2.08     0.252        0.816
00:02:00   DATA               Normal      Medium     0.462    87.2     700.1    36.2     0.52     0.110        0.842
00:02:02   DATA               Normal      Medium     0.467    88.1     705.0    35.9     0.75     0.218        0.841
00:02:03   DATA               Normal      Medium     0.432    85.0     716.6    39.3     0.51     0.215        0.823
00:02:04   DATA               Normal      Medium     0.432    85.0     716.6    39.3     0.51     0.215        0.823
00:02:05   DATA               Normal      Medium     0.346    83.2     717.7    57.3     0.31     0.214        0.812
00:02:06   DATA               Normal      Medium     0.253    82.0     720.9    56.9     0.77     0.214        0.806
00:02:07   LEVEL Medium>Low   Normal      Low        0.159    80.7     725.6    59.7     0.77     0.212        0.804
00:02:07   DATA               Normal      Low        0.159    80.7     725.6    59.7     0.77     0.212        0.804
00:02:08   DATA               Normal      Low        0.064    79.9     726.9    60.3     0.31     0.115        0.806
00:02:09   DATA               Normal      Low        0.000    82.8     718.5    61.8     0.64     0.116        0.827
00:02:10   DATA               Normal      Low        0.000    84.7     710.0    70.1     0.34     0.217        0.829
00:02:11   DATA               Normal      Low        0.000    85.3     712.6    64.4     1.92     0.216        0.830
00:02:12   DATA               Normal      Low        0.000    85.2     696.1    58.4     1.01     0.221        0.843
00:02:13   DATA               Normal      Low        0.000    85.1     700.5    56.6     0.62     0.220        0.850
00:02:14   DATA               Normal      Low        0.000    85.3     706.8    49.9     0.09     0.218        0.861
00:02:15   DATA               Normal      Low        0.000    85.5     710.7    54.0     1.29     0.235        0.871
00:02:16   DATA               Normal      Low        0.000    85.2     715.0    55.4     1.19     0.233        0.875
00:02:17   DATA               Normal      Low        0.000    84.8     680.7    70.2     2.70     0.245        0.856
00:02:18   DATA               Normal      Low        0.000    84.6     676.4    67.0     0.16     0.228        0.842
00:02:19   DATA               Normal      Low        0.000    85.5     678.3    59.0     0.39     0.227        0.826
00:02:20   DATA               Normal      Low        0.000    88.4     673.7    54.0     0.30     0.229        0.808
00:02:21   DATA               Normal      Low        0.000    91.2     668.0    54.2     0.20     0.230        0.795
00:02:22   DATA               Normal      Low        0.000    91.7     666.4    51.9     0.19     0.231        0.798
00:02:23   DATA               Normal      Low        0.024    90.8     662.7    43.7     1.53     0.232        0.801
00:02:24   DATA               Normal      Low        0.024    89.5     661.3    49.4     1.68     0.116        0.811
00:02:25   BOSS ROOM ENTER    BossRoom                                                                         
00:02:25   DATA               BossRoom    Low        0.121    89.1     677.5    35.7     0.28     0.114        0.826
00:02:26   DATA               BossRoom    Low        0.175    88.8     677.3    40.3     0.48     0.114        0.839
00:02:27   DATA               BossRoom    Low        0.175    88.2     671.8    48.3     0.15     0.115        0.850
00:02:28   DATA               BossRoom    Low        0.152    87.8     671.8    47.5     0.87     0.106        0.860
00:02:29   DATA               BossRoom    Low        0.152    88.3     679.6    51.0     0.72     0.113        0.857
00:02:30   DATA               BossRoom    Low        0.055    89.4     684.5    53.1     2.32     0.209        0.853
