==============================================
  Session: Session 01
  Started: 2026-05-12 12:53:14
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        79.4     753.7    51.8     1.21     0.194        0.819
00:02:01   DATA               Normal      High       0.559    74.9     772.0    42.6     0.72     0.108        0.756
00:02:02   DATA               Normal      High       0.542    75.8     766.0    43.1     0.55     0.218        0.780
00:02:03   LEVEL High>Medium  Normal      Medium     0.479    77.9     765.7    46.8     0.60     0.218        0.793
00:02:03   DATA               Normal      Medium     0.479    77.9     765.7    46.8     0.60     0.218        0.793
00:02:04   DATA               Normal      Medium     0.459    80.0     765.3    45.3     0.66     0.218        0.805
00:02:05   DATA               Normal      Medium     0.459    80.0     765.3    45.3     0.66     0.218        0.805
00:02:06   DATA               Normal      Medium     0.342    81.0     763.6    55.8     0.40     0.218        0.805
00:02:07   LEVEL Medium>Low   Normal      Low        0.236    81.0     758.2    52.8     2.44     0.220        0.805
00:02:07   DATA               Normal      Low        0.236    81.0     758.2    52.8     2.44     0.220        0.805
00:02:08   DATA               Normal      Low        0.219    80.0     766.5    44.5     0.70     0.218        0.802
00:02:09   DATA               Normal      Low        0.199    78.3     760.8    48.6     0.92     0.239        0.801
00:02:10   DATA               Normal      Low        0.153    76.3     777.2    49.2     1.51     0.215        0.800
00:02:11   DATA               Normal      Low        0.153    75.0     781.9    53.6     0.42     0.320        0.798
00:02:13   DATA               Normal      Low        0.153    74.5     790.8    71.7     0.08     0.230        0.801
00:02:14   DATA               Normal      Low        0.068    75.1     781.5    73.9     0.78     0.320        0.809
00:02:15   DATA               Normal      Low        0.030    75.9     784.2    65.4     0.25     0.319        0.814
00:02:16   DATA               Normal      Low        0.000    76.9     766.6    71.5     0.17     0.356        0.822
00:02:17   DATA               Normal      Low        0.000    77.7     765.0    67.3     0.27     0.327        0.829
00:02:18   DATA               Normal      Low        0.000    78.1     759.8    67.4     1.12     0.329        0.837
00:02:19   DATA               Normal      Low        0.000    78.6     755.4    61.2     1.93     0.306        0.846
00:02:20   DATA               Normal      Low        0.014    79.4     760.4    50.7     3.26     0.219        0.855
00:02:21   DATA               Normal      Low        0.214    80.0     757.3    28.9     0.22     0.220        0.861
00:02:22   LEVEL Low>Medium   Normal      Medium     0.368    80.3     758.1    38.6     0.41     0.203        0.869
00:02:22   DATA               Normal      Medium     0.368    80.3     758.1    38.6     0.41     0.203        0.869
00:02:23   LEVEL Medium>High  Normal      High       0.568    79.9     766.8    31.5     0.82     0.217        0.868
00:02:23   DATA               Normal      High       0.568    79.9     766.8    31.5     0.82     0.217        0.868
00:02:24   DATA               Normal      High       0.706    78.9     772.3    39.9     2.36     0.216        0.864
00:02:25   DATA               Normal      High       0.865    77.6     773.5    37.0     3.00     0.216        0.860
00:02:26   DATA               Normal      High       0.856    76.4     783.3    35.4     1.35     0.106        0.861
00:02:27   DATA               Normal      High       0.857    75.2     780.1    38.5     1.19     0.107        0.862
00:02:28   DATA               Normal      High       0.758    74.9     785.3    43.2     0.83     0.116        0.866
00:02:29   DATA               Normal      High       0.638    75.3     786.2    50.3     2.00     0.106        0.863
